	PF04127	PF00392	PF07840	PF01053	PF05861	PF06007	PF06754	PF05845	PF00270	PF00295	PF01124	PF01172	PF01925	PF01951	PF02450	PF04991	PF05239	PF05406	PF07521	PF08223	PF08866	PF09377	PF12678	PF13840	PF01055	PF01687	PF02599	PF02657	PF03006	PF03551	PF04117	PF05257	PF07848	PF12897	PF16657	PF01603	PF01941	PF02463	PF02602	PF03370	PF03390	PF03749	PF03971	PF04358	PF04667	PF04691	PF04711	PF04775	PF05309	PF05778	PF06377	PF06398	PF06446	PF06475	PF06959	PF07464	PF07574	PF07858	PF08335	PF08495	PF09170	PF09472	PF09508	PF09512	PF09984	PF10283	PF10414	PF10442	PF11262	PF11955	PF12513	PF12573	PF12741	PF12873	PF14051	PF14464	PF14721	PF00885	PF01074	PF01791	PF01862	PF02643	PF02645	PF02661	PF03976	PF04043	PF05153	PF05770	PF06153	PF06267	PF06755	PF07501	PF07748	PF08714	PF08882	PF08975	PF09055	PF10590	PF13201	PF13790	PF16116	PF16155	PF16983
Dehalococcoides mccartyi 195	1	0	0	1	0	0	0	0	6	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	1	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavobacterium aquatile LMG 4008	1	1	0	10	0	0	0	0	15	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Methermicoccus shengliensis DSM 18856	1	1	0	2	0	0	0	0	10	0	0	1	3	1	0	0	2	0	2	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Mariprofundus ferrooxydans PV-1	1	1	0	2	0	0	0	0	16	0	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	1	2	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bryobacter aggregatus MPL3	1	9	0	15	0	0	0	0	10	1	0	0	3	0	0	0	2	0	2	0	0	0	0	1	0	1	1	0	0	30	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Aeromonas hydrophila subsp. hydrophila ATCC 7966	1	11	1	5	0	0	0	0	18	0	1	0	3	0	1	0	1	0	0	0	0	0	0	2	0	1	1	1	1	1	0	0	0	1	2	0	0	4	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Alcanivorax borkumensis SK2	1	4	0	3	0	0	0	0	15	0	3	0	2	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Segniliparus rotundus DSM 44985	1	3	0	7	0	0	0	0	8	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	3	0	0	0	1	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Thermotoga maritima MSB8	1	3	0	6	0	0	0	0	7	1	0	0	1	1	0	0	1	0	1	0	0	0	0	2	1	1	1	0	0	2	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Sandaracinus amylolyticus	2	6	1	10	0	0	0	0	16	0	1	0	4	1	2	0	0	1	1	1	0	0	0	1	2	1	0	0	0	2	0	1	1	0	1	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	1	1	2	0	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0
Methanoplanus limicola DSM 2279	1	0	0	3	0	0	0	0	19	0	0	1	3	1	0	0	2	0	2	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	3	1	0	0	3	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Chlorobium limicola DSM 245	2	0	0	8	0	0	0	0	8	0	0	0	3	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	1	0	1	4	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus flavefaciens ATCC 19208	1	4	0	12	0	0	0	0	8	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Marinilabilia salmonicolor JCM 21150	1	4	0	8	0	0	0	0	16	2	0	0	6	0	0	1	0	0	0	0	0	0	0	0	7	1	0	1	1	1	0	0	0	0	1	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Cystobacter fuscus DSM 2262	1	9	0	13	0	0	0	0	25	0	2	0	5	0	3	0	1	2	1	0	0	0	0	2	4	1	0	0	1	4	0	2	0	1	3	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	5	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
